ProductID,ProductName,Category,SubCategory
2001,Product 1,Services,Premium
2002,Product 2,Services,Premium
2003,Product 3,Software,Enterprise
2004,Product 4,Services,Basic
2005,Product 5,Software,Enterprise
2006,Product 6,Software,Premium
2007,Product 7,Software,Basic
2008,Product 8,Software,Basic
2009,Product 9,Software,Enterprise
2010,Product 10,Electronics,Premium
2011,Product 11,Services,Basic
2012,Product 12,Software,Enterprise
2013,Product 13,Hardware,Premium
2014,Product 14,Services,Enterprise
2015,Product 15,Services,Standard
2016,Product 16,Software,Basic
2017,Product 17,Electronics,Standard
2018,Product 18,Software,Premium
2019,Product 19,Electronics,Standard
2020,Product 20,Hardware,Standard
2021,Product 21,Services,Premium
2022,Product 22,Hardware,Enterprise
2023,Product 23,Electronics,Standard
2024,Product 24,Electronics,Enterprise
2025,Product 25,Hardware,Standard
2026,Product 26,Electronics,Enterprise
2027,Product 27,Hardware,Premium
2028,Product 28,Services,Standard
2029,Product 29,Hardware,Premium
2030,Product 30,Services,Standard
2031,Product 31,Hardware,Premium
2032,Product 32,Electronics,Premium
2033,Product 33,Hardware,Standard
2034,Product 34,Electronics,Standard
2035,Product 35,Hardware,Standard
2036,Product 36,Hardware,Basic
2037,Product 37,Software,Enterprise
2038,Product 38,Electronics,Basic
2039,Product 39,Software,Basic
2040,Product 40,Electronics,Premium
2041,Product 41,Software,Standard
2042,Product 42,Services,Enterprise
2043,Product 43,Hardware,Premium
2044,Product 44,Electronics,Basic
2045,Product 45,Electronics,Standard
2046,Product 46,Hardware,Premium
2047,Product 47,Electronics,Standard
2048,Product 48,Electronics,Premium
2049,Product 49,Software,Standard
2050,Product 50,Electronics,Basic
