OrderID,OrderDate,CustomerID,ProductID,SalespersonID,RegionID,Quantity,UnitPrice,Discount,Cost,Sales,Profit
5559,2023-01-01,1010,2005,3016,4002,8,448.06,0.0,270.1,3584.48,1423.68
5180,2023-01-01,1059,2036,3010,4004,17,444.47,0.0,247.82,7555.99,3343.05
5522,2023-01-02,1047,2014,3024,4002,19,142.02,0.2,141.34,2158.7,-526.76
7026,2023-01-02,1099,2001,3014,4001,8,324.36,0.05,36.97,2465.14,2169.38
6083,2023-01-02,1026,2017,3013,4002,10,328.59,0.0,39.93,3285.9,2886.6
6457,2023-01-03,1015,2043,3012,4004,5,446.92,0.15,166.64,1899.41,1066.21
6147,2023-01-03,1007,2015,3014,4001,18,98.1,0.15,54.75,1500.93,515.43
5303,2023-01-03,1054,2014,3011,4005,16,179.7,0.2,183.94,2300.16,-642.88
5979,2023-01-03,1067,2016,3013,4003,3,338.02,0.0,298.46,1014.06,118.68
5163,2023-01-04,1023,2026,3024,4002,6,406.11,0.05,90.98,2314.83,1768.95
5421,2023-01-04,1014,2028,3025,4004,1,317.91,0.1,170.46,286.12,115.66
5610,2023-01-06,1051,2041,3021,4004,5,363.56,0.0,57.04,1817.8,1532.6
6992,2023-01-06,1086,2004,3010,4001,9,197.19,0.05,259.35,1685.97,-648.18
6615,2023-01-07,1084,2028,3001,4005,1,272.32,0.1,29.28,245.09,215.81
5032,2023-01-07,1016,2021,3017,4002,7,95.24,0.05,85.67,633.35,33.66
5683,2023-01-07,1064,2048,3025,4004,5,132.82,0.2,168.28,531.28,-310.12
6683,2023-01-08,1096,2013,3010,4001,5,418.65,0.05,281.04,1988.59,583.39
5231,2023-01-08,1050,2021,3018,4004,10,376.51,0.1,291.82,3388.59,470.39
6674,2023-01-08,1037,2001,3003,4004,7,469.47,0.15,139.7,2793.35,1815.45
5391,2023-01-09,1001,2025,3012,4002,17,273.99,0.0,72.33,4657.83,3428.22
7400,2023-01-09,1058,2029,3012,4005,14,404.91,0.05,210.27,5385.3,2441.52
6298,2023-01-09,1025,2016,3021,4003,15,193.1,0.2,212.75,2317.2,-874.05
5367,2023-01-10,1033,2037,3022,4003,16,77.68,0.05,25.57,1180.74,771.62
6265,2023-01-10,1006,2012,3001,4005,18,307.44,0.05,242.14,5257.22,898.7
5432,2023-01-10,1030,2041,3021,4004,1,58.34,0.15,67.47,49.59,-17.88
